Match Category,Match Type,Series,Format,Match Desc,Team 1,Team 1 Score,Team 2,Team 2 Score,Status,State,Start Date,End Date,Venue,City
upcoming,Women,"South Africa Women tour of Pakistan, 2025",ODI,1st ODI,Pakistan Women,/ ( overs),South Africa Women,/ ( overs),"Match starts at Sep 16, 04:30 GMT",Upcoming,1757997000000,1758025800000,Gaddafi Stadium,Lahore
upcoming,Women,Womens Caribbean Premier League 2025,T20,3rd Match,Barbados Royals Women,/ ( overs),Trinbago Knight Riders Women,/ ( overs),"Match starts at Sep 10, 18:00 GMT",Preview,1757527200000,1757539800000,Providence Stadium,Guyana
upcoming,Women,Womens Caribbean Premier League 2025,T20,4th Match,Guyana Amazon Warriors Women,/ ( overs),Trinbago Knight Riders Women,/ ( overs),"Match starts at Sep 14, 20:00 GMT",Upcoming,1757793600000,1757806200000,Providence Stadium,Guyana
upcoming,Women,Womens Caribbean Premier League 2025,T20,5th Match,Guyana Amazon Warriors Women,/ ( overs),Barbados Royals Women,/ ( overs),"Match starts at Sep 14, 18:00 GMT",Upcoming,1757872800000,1757885400000,Providence Stadium,Guyana
upcoming,Women,Womens Caribbean Premier League 2025,T20,6th Match,Barbados Royals Women,/ ( overs),Trinbago Knight Riders Women,/ ( overs),"Match starts at Sep 17, 19:00 GMT",Upcoming,1758049200000,1757889000000,Providence Stadium,Guyana
recent,International,Asia Cup 2025,T20,"1st Match, Group B",Afghanistan,188/6 (19.6 overs),Hong Kong,94/9 (19.6 overs),Afghanistan won by 94 runs,Complete,1757428200000,1757440800000,Sheikh Zayed Stadium,Abu Dhabi
recent,International,"South Africa tour of England, 2025",ODI,3rd ODI,England,414/5 (49.6 overs),South Africa,72/10 (20.5 overs),England won by 342 runs,Complete,1757239200000,1757268000000,The Rose Bowl,Southampton
recent,International,"South Africa tour of England, 2025",ODI,2nd ODI,South Africa,330/8 (49.6 overs),England,325/9 (49.6 overs),South Africa won by 5 runs,Complete,1756987200000,1757016000000,Lord's,London
recent,International,United Arab Emirates T20I Tri-Series 2025,T20,Final,Pakistan,141/8 (19.6 overs),Afghanistan,66/10 (15.5 overs),Pakistan won by 75 runs,Complete,1757257200000,1757269800000,Sharjah Cricket Stadium,Sharjah
recent,International,United Arab Emirates T20I Tri-Series 2025,T20,6th Match,Afghanistan,170/4 (19.6 overs),United Arab Emirates,166/5 (19.6 overs),Afghanistan won by 4 runs,Complete,1757084400000,1757097000000,Sharjah Cricket Stadium,Sharjah
recent,International,United Arab Emirates T20I Tri-Series 2025,T20,5th Match,Pakistan,171/5 (19.6 overs),United Arab Emirates,140/7 (19.6 overs),Pakistan won by 31 runs,Complete,1756998000000,1757010600000,Sharjah Cricket Stadium,Sharjah
recent,International,ICC Cricket World Cup League Two 2023-27,ODI,85th Match,Canada,/ ( overs),Scotland,/ ( overs),Match abandoned due to wet outfield (no toss),Abandon,1757169000000,1757197800000,Maple Leaf North-West Ground,King City
recent,International,ICC Cricket World Cup League Two 2023-27,ODI,84th Match,Scotland,164/10 (23.6 overs),Namibia,109/10 (21.2 overs),Scotland won by 55 runs (24 overs game due to rain),Complete,1756996200000,1757025000000,Maple Leaf North-West Ground,King City
recent,International,Netherlands tour of Bangladesh 2025,T20,3rd T20I,Bangladesh,164/4 (18.2 overs),Netherlands,/ ( overs),No result due to rain,Complete,1756900800000,1756913400000,Sylhet International Cricket Stadium,Sylhet
recent,International,"Sri Lanka tour of Zimbabwe, 2025",T20,2nd T20I,Sri Lanka,80/10 (17.4 overs),Zimbabwe,84/5 (14.2 overs),Zimbabwe won by 5 wkts,Complete,1757158200000,1757170800000,Harare Sports Club,Harare
recent,International,"Sri Lanka tour of Zimbabwe, 2025",T20,3rd T20I,Zimbabwe,191/8 (19.6 overs),Sri Lanka,193/2 (17.4 overs),Sri Lanka won by 8 wkts,Complete,1757244600000,1757257200000,Harare Sports Club,Harare
recent,International,"Sri Lanka tour of Zimbabwe, 2025",T20,1st T20I,Zimbabwe,175/7 (19.6 overs),Sri Lanka,177/6 (19.1 overs),Sri Lanka won by 4 wkts,Complete,1756899000000,1756911600000,Harare Sports Club,Harare
recent,International,Sweden tour of Isle Of Man 2025,T20,4th Match,Isle of Man,/ ( overs),Sweden,/ ( overs),Match abandoned without toss,Abandon,1757255400000,1757268000000,Cronkbourne Sports and Social Club Ground,Tromode
recent,International,Sweden tour of Isle Of Man 2025,T20,3rd T20I,Isle of Man,/ ( overs),Sweden,/ ( overs),Match abandoned without toss,Abandon,1757239200000,1757251800000,Cronkbourne Sports and Social Club Ground,Tromode
recent,International,Sweden tour of Isle Of Man 2025,T20,1st T20I,Isle of Man,78/10 (16.1 overs),Sweden,81/ (10.5 overs),Sweden won by 10 wkts,Complete,1757152800000,1757165400000,Cronkbourne Sports and Social Club Ground,Tromode
recent,International,Sweden tour of Isle Of Man 2025,T20,2nd T20I,Isle of Man,114/10 (19.5 overs),Sweden,116/7 (14.3 overs),Sweden won by 3 wkts,Complete,1757169000000,1757181600000,Cronkbourne Sports and Social Club Ground,Tromode
recent,League,Caribbean Premier League 2025,T20,24th Match,Barbados Royals,191/5 (19.6 overs),Saint Lucia Kings,164/9 (19.6 overs),Barbados Royals won by 27 runs,Complete,1757257200000,1757269800000,Kensington Oval,"Bridgetown, Barbados"
recent,League,Caribbean Premier League 2025,T20,25th Match,St Kitts and Nevis Patriots,149/6 (19.6 overs),Guyana Amazon Warriors,144/8 (19.6 overs),St Kitts and Nevis Patriots won by 5 runs,Complete,1757289600000,1757302200000,Providence Stadium,Guyana
recent,League,Caribbean Premier League 2025,T20,23rd Match,Trinbago Knight Riders,167/5 (19.6 overs),Guyana Amazon Warriors,168/7 (19.5 overs),Guyana Amazon Warriors won by 3 wkts,Complete,1757199600000,1757212200000,Providence Stadium,Guyana
recent,League,Caribbean Premier League 2025,T20,20th Match,Trinbago Knight Riders,109/10 (18.1 overs),Saint Lucia Kings,112/3 (11.1 overs),Saint Lucia Kings won by 7 wkts,Complete,1756940400000,1756953000000,Brian Lara Stadium,"Tarouba, Trinidad"
recent,League,Caribbean Premier League 2025,T20,22nd Match,Barbados Royals,187/4 (19.6 overs),Antigua and Barbuda Falcons,188/6 (19.6 overs),Antigua and Barbuda Falcons won by 4 wkts,Complete,1757113200000,1757125800000,Kensington Oval,"Bridgetown, Barbados"
recent,League,Caribbean Premier League 2025,T20,21st Match,Barbados Royals,165/6 (19.6 overs),Guyana Amazon Warriors,170/6 (19.4 overs),Guyana Amazon Warriors won by 4 wkts,Complete,1757026800000,1757039400000,Kensington Oval,"Bridgetown, Barbados"
recent,League,T20 Blast 2025,T20,Quarter Final 4,Warwickshire,190/6 (19.6 overs),Somerset,191/6 (19.5 overs),Somerset won by 4 wkts,Complete,1757179800000,1757192400000,The Cooper Associates County Ground,Taunton
recent,League,T20 Blast 2025,T20,Quarter Final 3,Kent,153/10 (19.6 overs),Lancashire,156/7 (18.3 overs),Lancashire won by 3 wkts,Complete,1757165400000,1757178000000,Emirates Old Trafford,Manchester
recent,League,T20 Blast 2025,T20,Quarter Final 1,Northamptonshire,154/4 (13.6 overs),Surrey,147/6 (13.6 overs),Northamptonshire won by 7 runs (14 Overs game  -  due to rain),Complete,1756920600000,1756933200000,Kennington Oval,London
recent,League,T20 Blast 2025,T20,Quarter Final 2,Hampshire,221/8 (19.6 overs),Durham,195/6 (19.6 overs),Hampshire won by 26 runs,Complete,1757093400000,1757106000000,Riverside Ground,Chester-le-Street
recent,League,Uttar Pradesh Premier League 2025,T20,Final,Meerut Mavericks,144/9 (19.6 overs),Kashi Rudras,148/2 (15.4 overs),Kashi Rudras won by 8 wkts,Complete,1757167200000,1757179800000,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
recent,League,Uttar Pradesh Premier League 2025,T20,Eliminator,Lucknow Falcons,170/7 (19.6 overs),Gaur Gorakhapur Lions,147/8 (19.6 overs),Lucknow Falcons won by 23 runs,Complete,1756908000000,1756920600000,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
recent,League,Uttar Pradesh Premier League 2025,T20,Qualifier 1,Kashi Rudras,166/8 (19.6 overs),Meerut Mavericks,161/7 (19.6 overs),Kashi Rudras won by 5 runs,Complete,1756891800000,1756904400000,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
recent,League,Uttar Pradesh Premier League 2025,T20,Qualifier 2,Meerut Mavericks,143/8 (19.6 overs),Lucknow Falcons,124/8 (19.6 overs),Meerut Mavericks won by 19 runs,Complete,1756994400000,1757007000000,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
recent,League,Kerala Cricket League 2025,T20,Final,Kochi Blue Tigers,181/8 (19.6 overs),Aries Kollam Sailors,106/10 (16.3 overs),Kochi Blue Tigers won by 75 runs,Complete,1757250900000,1757263500000,Greenfield International Stadium,Thiruvananthapuram
recent,League,Kerala Cricket League 2025,T20,Semi Final 2 (1st v 4th),Kochi Blue Tigers,186/8 (19.6 overs),Calicut Globstars,171/7 (19.6 overs),Kochi Blue Tigers won by 15 runs,Complete,1757078100000,1757090700000,Greenfield International Stadium,Thiruvananthapuram
recent,League,Kerala Cricket League 2025,T20,29th Match,Alleppey Ripples,137/9 (19.6 overs),Aries Kollam Sailors,139/6 (16.6 overs),Aries Kollam Sailors won by 4 wkts,Complete,1756976400000,1756989000000,Greenfield International Stadium,Thiruvananthapuram
recent,League,Kerala Cricket League 2025,T20,Semi Final 1 (2nd v 3rd),Thrissur Titans,86/10 (17.1 overs),Aries Kollam Sailors,92/ (9.5 overs),Aries Kollam Sailors won by 10 wkts,Complete,1757062800000,1757075400000,Greenfield International Stadium,Thiruvananthapuram
recent,League,Kerala Cricket League 2025,T20,28th Match,Aries Kollam Sailors,130/6 (19.6 overs),Kochi Blue Tigers,131/4 (17.1 overs),Kochi Blue Tigers won by 6 wkts,Complete,1756905300000,1756917900000,Greenfield International Stadium,Thiruvananthapuram
recent,League,Kerala Cricket League 2025,T20,30th Match,Calicut Globstars,165/9 (19.6 overs),Thrissur Titans,169/6 (18.1 overs),Thrissur Titans won by 4 wkts,Complete,1756991700000,1757004300000,Greenfield International Stadium,Thiruvananthapuram
recent,League,Kerala Cricket League 2025,T20,27th Match,Adani Trivandrum Royals,208/5 (19.6 overs),Alleppey Ripples,98/10 (16.6 overs),Adani Trivandrum Royals won by 110 runs,Complete,1756890000000,1756902600000,Greenfield International Stadium,Thiruvananthapuram
recent,Domestic,Duleep Trophy 2025,TEST,2nd Semi-Final,West Zone,438/10 (107.6 overs),Central Zone,600/10 (164.3 overs),Match drawn,Complete,1756958400000,1757242800000,BCCI Centre of Excellence Ground B,Bengaluru
